DATE,NASDAQ100
2014-09-17 00:00:00,4073.57
2014-09-18 00:00:00,4103.08
2014-09-19 00:00:00,4100.09
2014-09-22 00:00:00,4061.23
2014-09-23 00:00:00,4051.57
2014-09-24 00:00:00,4094.31
2014-09-25 00:00:00,4007.82
2014-09-26 00:00:00,4053.72
2014-09-29 00:00:00,4047.18
2014-09-30 00:00:00,4049.44
2014-10-01 00:00:00,3984.74
2014-10-02 00:00:00,3985.87
2014-10-03 00:00:00,4027.31
2014-10-06 00:00:00,4016.27
2014-10-07 00:00:00,3958.59
2014-10-08 00:00:00,4041.12
2014-10-09 00:00:00,3969.32
2014-10-10 00:00:00,3870.86
2014-10-13 00:00:00,3808
2014-10-14 00:00:00,3810.45
2014-10-15 00:00:00,3785.97
2014-10-16 00:00:00,3765.28
2014-10-17 00:00:00,3815.47
2014-10-20 00:00:00,3870.08
2014-10-21 00:00:00,3971.39
2014-10-22 00:00:00,3949.59
2014-10-23 00:00:00,4012.27
2014-10-24 00:00:00,4042.02
2014-10-27 00:00:00,4046.02
2014-10-28 00:00:00,4106.63
2014-10-29 00:00:00,4090.55
2014-10-30 00:00:00,4100.64
2014-10-31 00:00:00,4158.21
2014-11-03 00:00:00,4169.28
2014-11-04 00:00:00,4156.23
2014-11-05 00:00:00,4153.27
2014-11-06 00:00:00,4164.08
2014-11-07 00:00:00,4160.51
2014-11-10 00:00:00,4175.95
2014-11-11 00:00:00,4187.16
2014-11-12 00:00:00,4195.4
2014-11-13 00:00:00,4213.49
2014-11-14 00:00:00,4224.99
2014-11-17 00:00:00,4213.79
2014-11-18 00:00:00,4242.19
2014-11-19 00:00:00,4222.66
2014-11-20 00:00:00,4242.09
2014-11-21 00:00:00,4251.32
2014-11-24 00:00:00,4284.32
2014-11-25 00:00:00,4288.23
2014-11-26 00:00:00,4317.99
2014-11-27 00:00:00,.
2014-11-28 00:00:00,4337.78
2014-12-01 00:00:00,4287.81
2014-12-02 00:00:00,4305.96
2014-12-03 00:00:00,4312.93
2014-12-04 00:00:00,4311.93
2014-12-05 00:00:00,4311.57
2014-12-08 00:00:00,4278.34
2014-12-09 00:00:00,4294.67
2014-12-10 00:00:00,4224.87
2014-12-11 00:00:00,4246.48
2014-12-12 00:00:00,4199.28
2014-12-15 00:00:00,4157.42
2014-12-16 00:00:00,4089.6
2014-12-17 00:00:00,4165.1
2014-12-18 00:00:00,4267.77
2014-12-19 00:00:00,4281.78
2014-12-22 00:00:00,4293.67
2014-12-23 00:00:00,4279.3
2014-12-24 00:00:00,4283.1
2014-12-25 00:00:00,.
2014-12-26 00:00:00,4314.09
2014-12-29 00:00:00,4312.64
2014-12-30 00:00:00,4282.35
2014-12-31 00:00:00,4236.28
2015-01-01 00:00:00,.
2015-01-02 00:00:00,4230.24
2015-01-05 00:00:00,4160.96
2015-01-06 00:00:00,4110.83
2015-01-07 00:00:00,4160
2015-01-08 00:00:00,4240.55
2015-01-09 00:00:00,4213.28
2015-01-12 00:00:00,4169.97
2015-01-13 00:00:00,4166.2
2015-01-14 00:00:00,4145.84
2015-01-15 00:00:00,4089.65
2015-01-16 00:00:00,4142.14
2015-01-19 00:00:00,.
2015-01-20 00:00:00,4171.21
2015-01-21 00:00:00,4192.09
2015-01-22 00:00:00,4270.36
2015-01-23 00:00:00,4278.14
2015-01-26 00:00:00,4275.72
2015-01-27 00:00:00,4165.5
2015-01-28 00:00:00,4140.38
2015-01-29 00:00:00,4181.35
2015-01-30 00:00:00,4148.43
2015-02-02 00:00:00,4188.59
2015-02-03 00:00:00,4229.15
2015-02-04 00:00:00,4221.2
2015-02-05 00:00:00,4256.18
2015-02-06 00:00:00,4228.68
2015-02-09 00:00:00,4216.09
2015-02-10 00:00:00,4281.16
2015-02-11 00:00:00,4296.43
2015-02-12 00:00:00,4347.97
2015-02-13 00:00:00,4384.03
2015-02-16 00:00:00,.
2015-02-17 00:00:00,4385.34
2015-02-18 00:00:00,4390.91
2015-02-19 00:00:00,4411.86
2015-02-20 00:00:00,4443.05
2015-02-23 00:00:00,4449.49
2015-02-24 00:00:00,4451.03
2015-02-25 00:00:00,4440.59
2015-02-26 00:00:00,4462.27
2015-02-27 00:00:00,4440.67
2015-03-02 00:00:00,4483.05
2015-03-03 00:00:00,4458.78
2015-03-04 00:00:00,4445.36
2015-03-05 00:00:00,4452.06
2015-03-06 00:00:00,4399.23
2015-03-09 00:00:00,4412.99
2015-03-10 00:00:00,4329.08
2015-03-11 00:00:00,4305.38
2015-03-12 00:00:00,4336.23
2015-03-13 00:00:00,4314.9
2015-03-16 00:00:00,4370.47
2015-03-17 00:00:00,4375.63
2015-03-18 00:00:00,4422.5
2015-03-19 00:00:00,4426.82
2015-03-20 00:00:00,4458.54
2015-03-23 00:00:00,4445.54
2015-03-24 00:00:00,4430.99
2015-03-25 00:00:00,4329.29
2015-03-26 00:00:00,4315.26
2015-03-27 00:00:00,4332.86
2015-03-30 00:00:00,4382.82
2015-03-31 00:00:00,4333.69
2015-04-01 00:00:00,4311.26
2015-04-02 00:00:00,4316.01
2015-04-03 00:00:00,.
2015-04-06 00:00:00,4350.98
2015-04-07 00:00:00,4344.08
2015-04-08 00:00:00,4375.96
2015-04-09 00:00:00,4403.95
2015-04-10 00:00:00,4422.02
2015-04-13 00:00:00,4409.21
2015-04-14 00:00:00,4397.65
2015-04-15 00:00:00,4424.53
2015-04-16 00:00:00,4418.83
2015-04-17 00:00:00,4351.8
2015-04-20 00:00:00,4417.4
2015-04-21 00:00:00,4435.98
2015-04-22 00:00:00,4460.81
2015-04-23 00:00:00,4477.07
2015-04-24 00:00:00,4536.78
2015-04-27 00:00:00,4525.04
2015-04-28 00:00:00,4515.27
2015-04-29 00:00:00,4488.15
2015-04-30 00:00:00,4414.25
2015-05-01 00:00:00,4479.06
2015-05-04 00:00:00,4482.61
2015-05-05 00:00:00,4409.39
2015-05-06 00:00:00,4379.75
2015-05-07 00:00:00,4401.55
2015-05-08 00:00:00,4458.65
2015-05-11 00:00:00,4438.64
2015-05-12 00:00:00,4420.65
2015-05-13 00:00:00,4426.56
2015-05-14 00:00:00,4495.04
2015-05-15 00:00:00,4494.29
2015-05-18 00:00:00,4512.95
2015-05-19 00:00:00,4503.72
2015-05-20 00:00:00,4505.3
2015-05-21 00:00:00,4529.47
2015-05-22 00:00:00,4527.16
2015-05-25 00:00:00,.
2015-05-26 00:00:00,4472.96
2015-05-27 00:00:00,4546.06
2015-05-28 00:00:00,4535.66
2015-05-29 00:00:00,4508.25
2015-06-01 00:00:00,4521.85
2015-06-02 00:00:00,4508.89
2015-06-03 00:00:00,4519.86
2015-06-04 00:00:00,4487.03
2015-06-05 00:00:00,4477.19
2015-06-08 00:00:00,4431.51
2015-06-09 00:00:00,4427.61
2015-06-10 00:00:00,4485.46
2015-06-11 00:00:00,4488.47
2015-06-12 00:00:00,4453.79
2015-06-15 00:00:00,4432.92
2015-06-16 00:00:00,4455.9
2015-06-17 00:00:00,4468.98
2015-06-18 00:00:00,4531.85
2015-06-19 00:00:00,4513.42
2015-06-22 00:00:00,4544.04
2015-06-23 00:00:00,4548.74
2015-06-24 00:00:00,4524.6
2015-06-25 00:00:00,4514.01
2015-06-26 00:00:00,4484.28
2015-06-29 00:00:00,4379.86
2015-06-30 00:00:00,4396.76
2015-07-01 00:00:00,4429.23
2015-07-02 00:00:00,4433.39
2015-07-03 00:00:00,.
2015-07-06 00:00:00,4418.66
2015-07-07 00:00:00,4429.06
2015-07-08 00:00:00,4351.58
2015-07-09 00:00:00,4352.03
2015-07-10 00:00:00,4420.15
2015-07-13 00:00:00,4494.47
2015-07-14 00:00:00,4523.47
2015-07-15 00:00:00,4528.36
2015-07-16 00:00:00,4594.9
2015-07-17 00:00:00,4661.6
2015-07-20 00:00:00,4679.68
2015-07-21 00:00:00,4674.41
2015-07-22 00:00:00,4623.24
2015-07-23 00:00:00,4602.83
2015-07-24 00:00:00,4557.37
2015-07-27 00:00:00,4519.09
2015-07-28 00:00:00,4560.23
2015-07-29 00:00:00,4581.6
2015-07-30 00:00:00,4598.59
2015-07-31 00:00:00,4588.91
2015-08-03 00:00:00,4580.46
2015-08-04 00:00:00,4567.47
2015-08-05 00:00:00,4602.24
2015-08-06 00:00:00,4528.51
2015-08-07 00:00:00,4520.08
2015-08-10 00:00:00,4573.11
2015-08-11 00:00:00,4513.99
2015-08-12 00:00:00,4528.19
2015-08-13 00:00:00,4519.32
2015-08-14 00:00:00,4530.74
2015-08-17 00:00:00,4566.37
2015-08-18 00:00:00,4542.07
2015-08-19 00:00:00,4510.9
2015-08-20 00:00:00,4385.13
2015-08-21 00:00:00,4197.27
2015-08-24 00:00:00,4038.6
2015-08-25 00:00:00,4016.32
2015-08-26 00:00:00,4219.6
2015-08-27 00:00:00,4324.82
2015-08-28 00:00:00,4329.12
2015-08-31 00:00:00,4274.58
2015-09-01 00:00:00,4142.63
2015-09-02 00:00:00,4256.23
2015-09-03 00:00:00,4234.65
2015-09-04 00:00:00,4184.72
2015-09-07 00:00:00,.
2015-09-08 00:00:00,4303.53
2015-09-09 00:00:00,4253.45
2015-09-10 00:00:00,4296.3
2015-09-11 00:00:00,4323.23
2015-09-14 00:00:00,4308.76
2015-09-15 00:00:00,4360.28
2015-09-16 00:00:00,4383.67
2015-09-17 00:00:00,4384.96
2015-09-18 00:00:00,4323.86
2015-09-21 00:00:00,4336.13
2015-09-22 00:00:00,4274.1
2015-09-23 00:00:00,4273.53
2015-09-24 00:00:00,4261.1
2015-09-25 00:00:00,4224.74
2015-09-28 00:00:00,4103.47
2015-09-29 00:00:00,4083.37
2015-09-30 00:00:00,4181.06
2015-10-01 00:00:00,4192.96
2015-10-02 00:00:00,4267.45
2015-10-05 00:00:00,4331.43
2015-10-06 00:00:00,4306.7
2015-10-07 00:00:00,4333.46
2015-10-08 00:00:00,4350.15
2015-10-09 00:00:00,4370.01
2015-10-12 00:00:00,4382.56
2015-10-13 00:00:00,4352.94
2015-10-14 00:00:00,4346.92
2015-10-15 00:00:00,4418.22
2015-10-16 00:00:00,4438.62
2015-10-19 00:00:00,4462.07
2015-10-20 00:00:00,4438.18
2015-10-21 00:00:00,4413.52
2015-10-22 00:00:00,4503.22
2015-10-23 00:00:00,4624.09
2015-10-26 00:00:00,4630.85
2015-10-27 00:00:00,4639.23
2015-10-28 00:00:00,4678.58
2015-10-29 00:00:00,4670.77
2015-10-30 00:00:00,4648.83
2015-11-02 00:00:00,4703.92
2015-11-03 00:00:00,4719.05
2015-11-04 00:00:00,4717.55
2015-11-05 00:00:00,4702.9
2015-11-06 00:00:00,4707.23
2015-11-09 00:00:00,4655.52
2015-11-10 00:00:00,4641.73
2015-11-11 00:00:00,4636.94
2015-11-12 00:00:00,4588.93
2015-11-13 00:00:00,4502.14
2015-11-16 00:00:00,4565.47
2015-11-17 00:00:00,4565.82
2015-11-18 00:00:00,4653.44
2015-11-19 00:00:00,4655.35
2015-11-20 00:00:00,4686.36
2015-11-23 00:00:00,4674.79
2015-11-24 00:00:00,4669.41
2015-11-25 00:00:00,4672.88
2015-11-26 00:00:00,.
2015-11-27 00:00:00,4680.47
2015-11-30 00:00:00,4664.51
2015-12-01 00:00:00,4716.16
2015-12-02 00:00:00,4686.22
2015-12-03 00:00:00,4606.75
2015-12-04 00:00:00,4716.12
2015-12-07 00:00:00,4693.62
2015-12-08 00:00:00,4694.77
2015-12-09 00:00:00,4622.14
2015-12-10 00:00:00,4643.05
2015-12-11 00:00:00,4537.56
2015-12-14 00:00:00,4570.16
2015-12-15 00:00:00,4597.33
2015-12-16 00:00:00,4664.56
2015-12-17 00:00:00,4598.14
2015-12-18 00:00:00,4514.83
2015-12-21 00:00:00,4560.55
2015-12-22 00:00:00,4589.26
2015-12-23 00:00:00,4624.59
2015-12-24 00:00:00,4622.77
2015-12-25 00:00:00,.
2015-12-28 00:00:00,4621.35
2015-12-29 00:00:00,4691.08
2015-12-30 00:00:00,4652.01
2015-12-31 00:00:00,4593.27
2016-01-01 00:00:00,.
2016-01-04 00:00:00,4497.86
2016-01-05 00:00:00,4484.18
2016-01-06 00:00:00,4443.99
2016-01-07 00:00:00,4305.72
2016-01-08 00:00:00,4270.78
2016-01-11 00:00:00,4283.55
2016-01-12 00:00:00,4333.72
2016-01-13 00:00:00,4183.12
2016-01-14 00:00:00,4272.97
2016-01-15 00:00:00,4141.08
2016-01-18 00:00:00,.
2016-01-19 00:00:00,4147.07
2016-01-20 00:00:00,4136.28
2016-01-21 00:00:00,4142.6
2016-01-22 00:00:00,4259.77
2016-01-25 00:00:00,4196.53
2016-01-26 00:00:00,4233.85
2016-01-27 00:00:00,4128.86
2016-01-28 00:00:00,4186.06
2016-01-29 00:00:00,4279.17
2016-02-01 00:00:00,4286.56
2016-02-02 00:00:00,4193.1
2016-02-03 00:00:00,4171.97
2016-02-04 00:00:00,4167.77
2016-02-05 00:00:00,4024.47
2016-02-08 00:00:00,3960.67
2016-02-09 00:00:00,3947.8
2016-02-10 00:00:00,3966.28
2016-02-11 00:00:00,3962.22
2016-02-12 00:00:00,4019.19
2016-02-15 00:00:00,.
2016-02-16 00:00:00,4104.33
2016-02-17 00:00:00,4199.1
2016-02-18 00:00:00,4151.49
2016-02-19 00:00:00,4164.09
2016-02-22 00:00:00,4231.27
2016-02-23 00:00:00,4162.54
2016-02-24 00:00:00,4200.66
2016-02-25 00:00:00,4241.06
2016-02-26 00:00:00,4235.62
2016-02-29 00:00:00,4201.12
2016-03-01 00:00:00,4333.61
2016-03-02 00:00:00,4334.39
2016-03-03 00:00:00,4325.86
2016-03-04 00:00:00,4329
2016-03-07 00:00:00,4303.33
2016-03-08 00:00:00,4265.51
2016-03-09 00:00:00,4293.23
2016-03-10 00:00:00,4286.97
2016-03-11 00:00:00,4361.83
2016-03-14 00:00:00,4367.33
2016-03-15 00:00:00,4367.08
2016-03-16 00:00:00,4404.2
2016-03-17 00:00:00,4400.26
2016-03-18 00:00:00,4410.83
2016-03-21 00:00:00,4426.98
2016-03-22 00:00:00,4437.62
2016-03-23 00:00:00,4402.56
2016-03-24 00:00:00,4405.53
2016-03-25 00:00:00,.
2016-03-28 00:00:00,4398.07
2016-03-29 00:00:00,4467.72
2016-03-30 00:00:00,4490.88
2016-03-31 00:00:00,4483.66
2016-04-01 00:00:00,4532.08
2016-04-04 00:00:00,4511.7
2016-04-05 00:00:00,4470.75
2016-04-06 00:00:00,4543.78
2016-04-07 00:00:00,4475.29
2016-04-08 00:00:00,4474.93
2016-04-11 00:00:00,4458.71
2016-04-12 00:00:00,4496.04
2016-04-13 00:00:00,4554.72
2016-04-14 00:00:00,4554.62
2016-04-15 00:00:00,4543.16
2016-04-18 00:00:00,4569.31
2016-04-19 00:00:00,4537.09
2016-04-20 00:00:00,4540.44
2016-04-21 00:00:00,4540.8
2016-04-22 00:00:00,4474.19
2016-04-25 00:00:00,4474.13
2016-04-26 00:00:00,4452.97
2016-04-27 00:00:00,4416.63
2016-04-28 00:00:00,4363.99
2016-04-29 00:00:00,4341.3
2016-05-02 00:00:00,4381.3
2016-05-03 00:00:00,4341.39
2016-05-04 00:00:00,4312.01
2016-05-05 00:00:00,4309.48
2016-05-06 00:00:00,4330.17
2016-05-09 00:00:00,4341.23
2016-05-10 00:00:00,4402.04
2016-05-11 00:00:00,4361.03
2016-05-12 00:00:00,4342.81
2016-05-13 00:00:00,4326.53
2016-05-16 00:00:00,4380.48
2016-05-17 00:00:00,4322.56
2016-05-18 00:00:00,4338.23
2016-05-19 00:00:00,4315.58
2016-05-20 00:00:00,4362.9
2016-05-23 00:00:00,4355.1
2016-05-24 00:00:00,4444.3
2016-05-25 00:00:00,4476.43
2016-05-26 00:00:00,4487.96
2016-05-27 00:00:00,4512.54
2016-05-30 00:00:00,.
2016-05-31 00:00:00,4523.89
2016-06-01 00:00:00,4520.07
2016-06-02 00:00:00,4531.35
2016-06-03 00:00:00,4509.79
2016-06-06 00:00:00,4523.63
2016-06-07 00:00:00,4513.09
2016-06-08 00:00:00,4520.63
2016-06-09 00:00:00,4512.69
2016-06-10 00:00:00,4461.05
2016-06-13 00:00:00,4422.76
2016-06-14 00:00:00,4424.91
2016-06-15 00:00:00,4409.51
2016-06-16 00:00:00,4424.23
2016-06-17 00:00:00,4374.38
2016-06-20 00:00:00,4400.16
2016-06-21 00:00:00,4413.4
2016-06-22 00:00:00,4404.73
2016-06-23 00:00:00,4467.48
2016-06-24 00:00:00,4285.7
2016-06-27 00:00:00,4201.05
2016-06-28 00:00:00,4290.47
2016-06-29 00:00:00,4364.74
2016-06-30 00:00:00,4417.7
2016-07-01 00:00:00,4437.44
2016-07-04 00:00:00,.
2016-07-05 00:00:00,4410.75
2016-07-06 00:00:00,4444.7
2016-07-07 00:00:00,4459.58
2016-07-08 00:00:00,4528.36
2016-07-11 00:00:00,4554.71
2016-07-12 00:00:00,4577.61
2016-07-13 00:00:00,4565.77
2016-07-14 00:00:00,4596.49
2016-07-15 00:00:00,4589.83
2016-07-18 00:00:00,4619.68
2016-07-19 00:00:00,4603.28
2016-07-20 00:00:00,4657.2
2016-07-21 00:00:00,4647.02
2016-07-22 00:00:00,4666.07
2016-07-25 00:00:00,4665.93
2016-07-26 00:00:00,4672.11
2016-07-27 00:00:00,4702.88
2016-07-28 00:00:00,4721.41
2016-07-29 00:00:00,4730.23
2016-08-01 00:00:00,4756.04
2016-08-02 00:00:00,4719.21
2016-08-03 00:00:00,4734.33
2016-08-04 00:00:00,4743.81
2016-08-05 00:00:00,4791.21
2016-08-08 00:00:00,4784.74
2016-08-09 00:00:00,4795.75
2016-08-10 00:00:00,4783.39
2016-08-11 00:00:00,4803.31
2016-08-12 00:00:00,4807.08
2016-08-15 00:00:00,4827.12
2016-08-16 00:00:00,4797.19
2016-08-17 00:00:00,4805.45
2016-08-18 00:00:00,4808.68
2016-08-19 00:00:00,4806.14
2016-08-22 00:00:00,4808.56
2016-08-23 00:00:00,4818.48
2016-08-24 00:00:00,4783.49
2016-08-25 00:00:00,4775.43
2016-08-26 00:00:00,4783.69
2016-08-29 00:00:00,4791.09
2016-08-30 00:00:00,4776
2016-08-31 00:00:00,4771.05
2016-09-01 00:00:00,4783.94
2016-09-02 00:00:00,4798.74
2016-09-05 00:00:00,.
2016-09-06 00:00:00,4829.51
2016-09-07 00:00:00,4831.86
2016-09-08 00:00:00,4804
2016-09-09 00:00:00,4681.54
2016-09-12 00:00:00,4764.65
2016-09-13 00:00:00,4722.84
2016-09-14 00:00:00,4746.06
2016-09-15 00:00:00,4819.9
2016-09-16 00:00:00,4818.05
2016-09-19 00:00:00,4796.07
2016-09-20 00:00:00,4805.22
2016-09-21 00:00:00,4853.75
2016-09-22 00:00:00,4891.36
2016-09-23 00:00:00,4858.91
2016-09-26 00:00:00,4817.17
2016-09-27 00:00:00,4866.71
2016-09-28 00:00:00,4875.27
2016-09-29 00:00:00,4838.3
2016-09-30 00:00:00,4875.7
2016-10-03 00:00:00,4866.62
2016-10-04 00:00:00,4859.47
2016-10-05 00:00:00,4877.75
2016-10-06 00:00:00,4873.92
2016-10-07 00:00:00,4864.52
2016-10-10 00:00:00,4893.77
2016-10-11 00:00:00,4821.91
2016-10-12 00:00:00,4819.63
2016-10-13 00:00:00,4803.1
2016-10-14 00:00:00,4808.48
2016-10-17 00:00:00,4796.17
2016-10-18 00:00:00,4839.72
2016-10-19 00:00:00,4836.61
2016-10-20 00:00:00,4832.71
2016-10-21 00:00:00,4851.86
2016-10-24 00:00:00,4909.97
2016-10-25 00:00:00,4891.45
2016-10-26 00:00:00,4860.59
2016-10-27 00:00:00,4836.45
2016-10-28 00:00:00,4805.59
2016-10-31 00:00:00,4801.27
2016-11-01 00:00:00,4766.94
2016-11-02 00:00:00,4726.91
2016-11-03 00:00:00,4679.1
2016-11-04 00:00:00,4660.46
2016-11-07 00:00:00,4773.73
2016-11-08 00:00:00,4804.92
2016-11-09 00:00:00,4825.18
2016-11-10 00:00:00,4747.03
2016-11-11 00:00:00,4751.95
2016-11-14 00:00:00,4702.04
2016-11-15 00:00:00,4764.47
2016-11-16 00:00:00,4792.27
2016-11-17 00:00:00,4826.59
2016-11-18 00:00:00,4808.04
2016-11-21 00:00:00,4859
2016-11-22 00:00:00,4873.84
2016-11-23 00:00:00,4853.86
2016-11-24 00:00:00,.
2016-11-25 00:00:00,4870.02
2016-11-28 00:00:00,4857.02
2016-11-29 00:00:00,4873.21
2016-11-30 00:00:00,4810.81
2016-12-01 00:00:00,4734.1
2016-12-02 00:00:00,4739.37
2016-12-05 00:00:00,4778.14
2016-12-06 00:00:00,4788.67
2016-12-07 00:00:00,4851.94
2016-12-08 00:00:00,4859.19
2016-12-09 00:00:00,4895.9
2016-12-12 00:00:00,4874.3
2016-12-13 00:00:00,4935.84
2016-12-14 00:00:00,4921.22
2016-12-15 00:00:00,4933.41
2016-12-16 00:00:00,4914.86
2016-12-19 00:00:00,4934.85
2016-12-20 00:00:00,4953.8
2016-12-21 00:00:00,4948.9
2016-12-22 00:00:00,4934.39
2016-12-23 00:00:00,4940.02
2016-12-26 00:00:00,.
2016-12-27 00:00:00,4965.81
2016-12-28 00:00:00,4926.29
2016-12-29 00:00:00,4918.28
2016-12-30 00:00:00,4863.62
2017-01-02 00:00:00,.
2017-01-03 00:00:00,4911.33
2017-01-04 00:00:00,4937.21
2017-01-05 00:00:00,4964.95
2017-01-06 00:00:00,5007.08
2017-01-09 00:00:00,5024.9
2017-01-10 00:00:00,5035.17
2017-01-11 00:00:00,5050.21
2017-01-12 00:00:00,5041.43
2017-01-13 00:00:00,5059.51
2017-01-16 00:00:00,.
2017-01-17 00:00:00,5044.65
2017-01-18 00:00:00,5055.85
2017-01-19 00:00:00,5051.17
2017-01-20 00:00:00,5063.2
2017-01-23 00:00:00,5065.7
2017-01-24 00:00:00,5101.06
2017-01-25 00:00:00,5151.47
2017-01-26 00:00:00,5156.92
2017-01-27 00:00:00,5168.06
2017-01-30 00:00:00,5129.33
2017-01-31 00:00:00,5116.77
2017-02-01 00:00:00,5152.69
2017-02-02 00:00:00,5147.7
2017-02-03 00:00:00,5161.6
2017-02-06 00:00:00,5167.96
2017-02-07 00:00:00,5185.88
2017-02-08 00:00:00,5196.58
2017-02-09 00:00:00,5212.16
2017-02-10 00:00:00,5226.69
2017-02-13 00:00:00,5256.82
2017-02-14 00:00:00,5271.07
2017-02-15 00:00:00,5302.39
2017-02-16 00:00:00,5300.64
2017-02-17 00:00:00,5324.72
2017-02-20 00:00:00,.
2017-02-21 00:00:00,5350.73
2017-02-22 00:00:00,5352.13
2017-02-23 00:00:00,5332.37
2017-02-24 00:00:00,5343.31
2017-02-27 00:00:00,5347.55
2017-02-28 00:00:00,5330.31
2017-03-01 00:00:00,5390.99
2017-03-02 00:00:00,5363.26
2017-03-03 00:00:00,5373.48
2017-03-06 00:00:00,5360.31
2017-03-07 00:00:00,5351.28
2017-03-08 00:00:00,5359.8
2017-03-09 00:00:00,5363.98
2017-03-10 00:00:00,5385.9
2017-03-13 00:00:00,5394.57
2017-03-14 00:00:00,5382.17
2017-03-15 00:00:00,5416.25
2017-03-16 00:00:00,5412.08
2017-03-17 00:00:00,5408.76
2017-03-20 00:00:00,5413.31
2017-03-21 00:00:00,5332.53
2017-03-22 00:00:00,5367.56
2017-03-23 00:00:00,5355.14
2017-03-24 00:00:00,5364
